,datetime,tweet_Id,Username,text,likes
47,2022-09-03 22:30:50+00:00,1566192021030969344,Rishitaaxd,Omg one more #INDvsPAK match 🥳❤️,24
48,2022-09-03 22:30:26+00:00,1566191916596842496,ChhattisgarhThe,Can’t reveal conversation with Virat Kohli: Head coach Rahul Dravid ahead of IND vs PAK match in Asia Cup 2022 | Cricket News https://t.co/id75aJYLAw,0
49,2022-09-03 22:29:46+00:00,1566191749952856070,raizhipop,"Who's excited for #INDvsPAK match?
😳😎",2
50,2022-09-03 22:29:17+00:00,1566191627206815744,shubham_odarkar,"@RVCJ_FB My 11 for #INDvsPAK 

Rohit
Virat
Sky
Hooda
Pant
Hardik
Dk/Kl (kl open if he plays)
Ashwin/Axar/bishnoi
Bhuvi
Chahal
Arshdeep",0
51,2022-09-03 22:27:18+00:00,1566191130324213760,Krack_itt,"Again moqa moqa 😂
Big match 😍
India 🇮🇳 vs 🇵🇰Pakistan 

Who will win?

#pakvsindia
#INDvsPAK 
#AsiaCup2022 
#AsiaCupT20 
#RohitSharma𓃵 
#ViratKohli𓃵 
#BabarAzam𓃵 https://t.co/cgVkSaxsLp",5
52,2022-09-03 22:25:10+00:00,1566190591565877254,CricktaleO,"IND vs PAK: Rizwan openly warned India before the great match, said – we are ready to fight with anyone https://t.co/zCoonKTWj8 https://t.co/4Ys2wBkZDs",0
53,2022-09-03 22:24:21+00:00,1566190389782102017,shkumr786,"#AsiaCup2022 
#INDvsPAK 
#Hasnain https://t.co/pwNULHK7Ds",5
54,2022-09-03 22:23:31+00:00,1566190177470390272,FAGM1441,"@Arzookazmi30 
#INDvsPAK #AsiaCupT20 https://t.co/zVn7p6MNcH",0
55,2022-09-03 22:22:43+00:00,1566189977783910407,AkshithShetty93,"Others : #INDvsPAK

Indians : #PKMKB",5
56,2022-09-03 22:20:25+00:00,1566189399532085255,shkumr786,"Match day
#INDvsPAK
#Hasnain",1
57,2022-09-03 22:19:26+00:00,1566189151321575427,AhmadYsfzai,"ASIA CUP 2022
Pakistan will win today match INSHALLAH
What do you think who will win
#AsiaCupT20
#pakvsindia #INDvsPAK #WWEClash @TheRealPCB @TheRealPCBMedia @BCCI @IPL @thePSLt20",1
58,2022-09-03 22:18:44+00:00,1566188972354678785,imankitanand_,I asked my doc to postpone my surgery to monday so that I can watch #IndVsPak aaram se. Bois is baar bhi jeet jaana pls 💪🇮🇳,2
59,2022-09-03 22:14:15+00:00,1566187844326105088,CableFreeTVUSA,IND vs PAK 2022: ‘People are getting a bit obsessed with his stats and numbers’ https://t.co/muhZ2S1Jc9,0
60,2022-09-03 22:13:36+00:00,1566187684183191552,FAGM1441,@rimshaalmas1 #INDvsPAK https://t.co/cPjG1iGwc0,1
61,2022-09-03 22:12:54+00:00,1566187504751071233,RehanAhmed_00,Saree jahan                  Magar tere             Ki khushiyan.               Jane ka gum.         Mila kar dekhii.             Zayada haii💔     #INDvsPAK https://t.co/jfh2whufVy,1
62,2022-09-03 22:12:31+00:00,1566187408776888322,shahdDiaz,بكره الفريق ماعنده ولا لاعب يعوض 5٪ من امان جاديجا وقت الضرب #INDvsPAK,0
63,2022-09-03 22:07:06+00:00,1566186044722188296,EagleEye_Pak,"Who should play against India?
#Cricket #pakvsindia #PakVsInd #INDvsPAK #AsiaCupT20 #AsiaCup2022 #AsiaCup #AFGvsSL 
#hasanali #Hasnain #dhani https://t.co/gddUyDJNtt",3
64,2022-09-03 22:06:46+00:00,1566185964086722560,daydr3ambot,"for tomorrow, a part of me wants a one-sided match so we win with a great margin but the other part of me wants a thriller, nail-biting and unpredictable match. us winning is a given in both the situations ofc 😌
#INDvsPAK",2
65,2022-09-03 22:04:29+00:00,1566185389056229378,Srinivas_0414,"Match Day
#INDvsPAK",0
66,2022-09-03 22:03:01+00:00,1566185019022147584,aquaholic31,Rohit  and Virat  for next mission.. #INDvsPAK #AsiaCupT20 https://t.co/wtyyAhvd4w,0
67,2022-09-03 22:02:20+00:00,1566184846313259008,TheRealPKMKB,"MS Dhoni v Pakistan 🇵🇰
(In ODIs)

Innings - 31
Runs - 1231 runs
100s - 2
50s - 9
Average - 53.52
Strike rate - 90.45
High score - 148 

#MSDhoni #INDvsPAK #zimbabar",3
68,2022-09-03 21:58:55+00:00,1566183985767915520,aamchigalo,"Virat Kohli during Asia Cup 2022
PC: @mufaddal_vohra 
#INDvsPAK #IndianCricketTeam #AsiaCup #AsiaCupT20 #MaskUp #Covid https://t.co/KT9Br2BULP",1
69,2022-09-03 21:55:23+00:00,1566183096726462464,ArpitTr76699022,"#Adani
#RavishKumar
#KRKArrested
#ArrestSeemaPatra
#bycottbramhastra 
#Aajtak
#GodiMedia
#AsiaCup2022
#IndiaVsPakistan
#INDvsPAK 
#TeamIndia 
Jay Shah 
#JusticeForAnkita 
#NDTV
#NationalSportsDay 
#BoycottBramhastra 
#AsiaCupT20 https://t.co/EMJHXdBHKD",3
70,2022-09-03 21:47:59+00:00,1566181237617721344,AhsanArain95,"پل گرتے ہوئے دیکھے ہم نے بڑی بڑی بلڈنگ کو پانی میں بہتے ہوئے دیکھا ہم نے بڑے بڑے گاؤں دیہاتوں کو  پانی کے اندر ڈوبتے ہوئے دیکھا.
#PakistanFloods2022 #Pakistan #FloodSituation  #Flood #PakArmy_AlwaysWithTheNation #BabarAzam𓃵 #INDvsPAK #AsiaCup2022 #news 
https://t.co/aRRZUO4p4i",0
71,2022-09-03 21:47:39+00:00,1566181150351302656,DipeshPandey91,"India possible 11 vs Pak
Rohit
Rahul
Virat
Surya
Pandya
HOODA
D.k
B.kumar
BISHNOI
Arshdeep
Chahal
 If india wants extra pace,
 KULDEEP SEN in for bishnoi nd axar for hooda
@cricketaakash @WasimJaffer14 
@jatinsapru
#AsiaCup #AsiaCupT20 #INDvsPAK #pakvsindia 
#AsiaCup",1
72,2022-09-03 21:46:48+00:00,1566180937968549888,son_Of_Superman,"Free! 250rs free swiggy money
Just click on the refer link and enter your mail id and boom ,you will recieve 250rs swiggy money voucher instantly. New welcome offer on Stoa.
https://t.co/IdfJMRWg4Y
#KiaraAdvani #AliaBhatt #jahnvikapoor #TheRingsOfPower #india #INDvsPAK https://t.co/8LNhf4QXjj",4
73,2022-09-03 21:46:31+00:00,1566180868309544960,Saikat0025,Again today India vs Pakistan match. #AsiaCupT20 #AsiaCup2022 #INDvsPAK #pakvsindia #Cricket #CricketTwitter #cricketnews @BCCI @TheRealPCB. Can India beat Pakistan?,0
74,2022-09-03 21:46:10+00:00,1566180780199780353,Chaudha80797352,Me waiting for India vs pakistan match...#AsiaCupT20 #INDvsPAK #ViratKohli𓃵 #INDvPAK #ViratKohli https://t.co/OHQE47SSyF,2
75,2022-09-03 21:39:33+00:00,1566179113483878409,Rafik_malik_,@iamamirofficial Amir Bhai please come back your national teem muss you Ind vs pak,0
76,2022-09-03 21:36:34+00:00,1566178360652402689,fasihiqbal617,#bwpjalsa #imrankhan #indvspak #HassanAli @ImranKhanPTI https://t.co/QByCG8tdQp,2
77,2022-09-03 21:35:46+00:00,1566178162136199168,indiasportsup,"Blockbuster Sunday

India to take on Pakistan in Super 4 stage of Asia Cup 2022
Get ready for action packed encounter

#INDvsPAK #INDvPAK #AsiaCup #AsiaCup2022 #AsiaCupT20 https://t.co/3Sx26Q4ubf",15
78,2022-09-03 21:34:49+00:00,1566177920225353734,HijabImran_,"Boys will rock and will take revenge of last time's defeat. 

#PakVsInd #INDvsPAK https://t.co/VPJ1j1lSAN",4
79,2022-09-03 21:33:37+00:00,1566177621431681024,hafij778,"Waiting for another super match on super Sunday.

#INDvPAK #INDvsPAK #AsiaCup2022 #AsiaCup #AsiaCupLive #T20Live #cricketlive #xenonesports #itsolution365

https://t.co/zlSHvI7HoX",0
80,2022-09-03 21:31:10+00:00,1566177005363666947,MatarAlu,"India vs Pakistan tomorrow, judging by my luck recently, Pakistan is winning this time🙏🏽 #INDvsPAK",2
81,2022-09-03 21:31:08+00:00,1566176996861804551,Blogrite1,🔴LIVE: INDIA vs PAKISTAN | IND vs PAK Live Scores &amp; Commentary | IND vs PAK Live Cricket Match Today https://t.co/L6th6KAv1g,0
82,2022-09-03 21:26:20+00:00,1566175787056766977,YounusNauman,"@TheRealPCB Another Fast Bowler Injured ...
Shahnawaz Dahani??? 
Suddenly Side Strain Injury 😶
#INDvsPAK #PakVsInd #AsiaCup2022 #Dahani #Pakistan #PakistanCricket
Hassan Ali .... https://t.co/MikMuL4P2w",0
83,2022-09-03 21:24:43+00:00,1566175380528328704,ChambalSandesh,"एशिया कप: भारत-पाकिस्तान आज फिर होंगे आमने-सामने 

#AsiaCup #INDvsPAK #RohitSharma #BabarAzam 
https://t.co/Uw85yVtmjH",1
84,2022-09-03 21:24:10+00:00,1566175242648662016,ASIFSOLKAR1,"Amidst all the hype of  #INDvsPAK , in the ongoing #AsiaCupT20
I seriously have a Gut feeling that #SrilankaCricket will be the winners of
#AsiaCup2022
#AsiaCupT20
Bcoz no-one is taking note of how silently they are picking their dangerous form.
They could surprise everyone!!!",0
85,2022-09-03 21:22:30+00:00,1566174823688142848,HijabImran_,"#PSL matches are more interesting than international matches, except #INDvsPAK match.

Do you agree..?? https://t.co/smNx6kiHkj",6
