,datetime,tweet_Id,Username,text,likes
37,2022-09-05 15:25:28+00:00,1566809746556227586,IXG_News,"@Belagavi_infra @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India They will survey, put banners and retweet, and vanish. All agencies are full of corruption.",1
38,2022-09-05 15:15:07+00:00,1566807142258319361,LocalviewIn,It’s time of crocodile #belagavi https://t.co/tJYLEFcaAO,0
39,2022-09-05 15:14:18+00:00,1566806939119800320,vrt12345678,"This Marathi MLA from Belagavi not even know the city name...He don't know Govt of Karnataka has officially renamed it as Belagavi... Are your for karnataka govt or Maharashtra Govt... 

#Belagavi
@iamabhaypatil 
@BelagaviKA 
@rajanna_rupesh https://t.co/Tnjcp7r3xm",2
40,2022-09-05 15:13:50+00:00,1566806818424500227,Hulikavishri,"Sir @iamabhaypatil @Irannakadadi_MP 
Madam @MangalSAngadi @laxmi_hebbalkar Today Many people's Doing Visarjan And
Why there is No Lights Surrounding  Jakkin Honda @HubliHescom kindly look
@allaboutbelgaum @Belagavi_BM @MarvelousBgm @belagavi_news @belgavbelgavkar @Belagavi_infra https://t.co/c4gRYNzVQT",11
41,2022-09-05 15:10:53+00:00,1566806077890789376,vrt12345678,@Hulikavishri @GajendraRPatil @BSBommai @Sandeepnds @BelagaviRlyUser @Belagavi_infra @BelagaviM @BJPKarnataka Nota ಯಾಕೇ ಬೇರೆ ದವರಿಗೆ ಚಾನ್ಸ್ ಕೊಟ್ಟು ನೋಡಿ..ನೀವು Nota ಹಾಕಿದ್ರೆ ಮತ್ತೆ ಇವರೇ ಬರ್ತಾರೆ....,1
42,2022-09-05 15:10:20+00:00,1566805940514734080,RajeevTopanavar,"Today BJP MLAs of Belagavi City complete 1 year as Mayor &amp; Dy. Mayor of City Corporation of Belagavi keeping out corporators out of power.BJP believes in minimum Government &amp; maximum corruption.they have delivered bad roads,no streetlights &amp; total failure.
@CMofKarnataka",18
43,2022-09-05 15:07:37+00:00,1566805255311859713,YousufShafiqa,"Rizwan Reyaz, from Shopain kashmir, participated in belt wrestling in national games at Belagavi, Karnataka. His passion and dedication to sports since early age has brought him success.
He is an inspiration for youth to follow their passion in sports &amp; games. https://t.co/9zVhblbWma",7
44,2022-09-05 15:06:13+00:00,1566804905058246658,shrirangkatti,@Belagavi_infra @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India WoW New Pool in Belgavi thanks to use less smartcity and Corporation of Belgavi,1
45,2022-09-05 15:00:19+00:00,1566803418907234305,allaboutbelgaum,"https://t.co/11kQC3JUlv #belagavitechmeetup One thing is clear post the #BelagaviTechMeet event, the search for #BeyondBengaluru can stop at #Belagavi, The city; just like a startup has bootstrapped itself and is home to more than 300 tech professionals running companies here",22
46,2022-09-05 14:48:34+00:00,1566800460694290437,Manuz666,@Belagavi_infra @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India Contractors and Govt engineers who do work inspection are responsible.,0
